figure_id	panel	data_layer	priority	current_state	target_output	notes
Figure_1	A	study_design	high	ready	outputs/figures/main/Figure_1A_study_design.pdf	Study-design schematic for the main manuscript.
Figure_1	B	nrxn1_isoforms	high	ready	outputs/figures/main/Figure_1B_nrxn1_isoforms.pdf	NRXN1 isoform panel used in the main manuscript.
Figure_1	C	multiomic_pca_and_density_qc	high	ready	outputs/figures/main/Figure_1C_density_pca_threepanel.pdf	Three-panel RNA, ATAC, and H3K27me3 PCA summary.
Figure_2	A	rna_heatmap	high	ready	outputs/figures/main/Figure_2A_rna_heatmap_all_genes.pdf	Main RNA heatmap panel.
Figure_2	B	rna_volcano	high	ready	outputs/figures/main/Figure_2B_rna_volcano.pdf	Main RNA volcano panel.
Figure_2	C	rna_go	high	ready	outputs/figures/main/Figure_2C_rna_go_directional_categories.pdf	Directional RNA GO panel.
Figure_2	D	splicing_summary	high	ready	outputs/figures/main/Figure_2D_splicing_summary_bar.pdf	Main splicing event summary panel.
Figure_2	E	splicing_go	high	ready	outputs/figures/main/Figure_2E_splicing_go.pdf	Curated splicing topGO panel.
Figure_2	F	prc2_splicing	high	ready	outputs/figures/main/Figure_2F_prc2_splicing.pdf	PRC2-focused splicing panel.
Figure_3	A	chip_annotation_diverging	high	ready	outputs/figures/main/Figure_3A_chip_annotation_diverging.pdf	H3K27me3 differential annotation panel.
Figure_3	B	rna_chip_concordance	high	ready	outputs/figures/main/Figure_3B_rna_chip_scatter.pdf	RNA-H3K27me3 concordance scatter.
Figure_3	C	chip_go	high	ready	outputs/figures/main/Figure_3C_chip_go.pdf	H3K27me3 GO panel.
Figure_3	D	mechanistic_heatmap	high	ready	outputs/figures/main/Figure_3D_mechanistic_heatmap.pdf	Mechanistic heatmap summarizing curated chromatin-linked genes.
Figure_4	A	promoter_dars	high	ready	outputs/figures/main/Figure_4A_promoter_dars.pdf	Promoter-focused DAR summary panel.
Figure_4	B	rna_atac_scatter	high	ready	outputs/figures/main/Figure_4B_rna_atac_scatter.pdf	RNA-ATAC promoter concordance scatter.
Figure_4	C	rna_atac_go	high	ready	outputs/figures/main/Figure_4C_rna_atac_go.pdf	GO panel for concordant RNA-ATAC genes.
Figure_4	D	tobias_volcano	high	ready	outputs/figures/main/Figure_4D_tobias_volcano.pdf	TOBIAS motif-footprinting volcano panel.
Figure_4	E	tobias_mechanistic	high	ready	outputs/figures/main/Figure_4E_tobias_mechanistic.pdf	Mechanistic TF-footprinting panel.
Figure_5	A	triple_overlap	high	ready	outputs/figures/main/Figure_5A_triple_overlap_inclusive.pdf	Triple-overlap summary panel maintained with the final manuscript assets.
Figure_5	B	integration_heatmap	high	ready	outputs/figures/main/Figure_5B_integration_heatmap.pdf	Curated integration heatmap used in the main manuscript.
Figure_5	C	schematic_integrative_model	high	ready	outputs/figures/main/Figure_5C_schematic_integrative_model.pdf	Integrative model schematic maintained with the final manuscript assets.
Figure_5	D	integration_go	high	deferred	outputs/figures/main/Figure_5D_integration_go.pdf	Deferred integration GO slot; not part of the locked manuscript.
Figure_5	E	browser_tracks	medium	not_built	outputs/figures/main/Figure_5E_browser_tracks.pdf	Browser-track panel not generated by the public plotting workflow.
